Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,reason
6,0.0332680331834028,0.120702770574107,Organic,5.285519080243383,1,1.0,session_duration_too_short
3,0.0124070846501974,0.1188282623941044,Referral,1.3362649572248342,3,1.0,session_duration_too_short
5,0.063746928355616,0.0560941217204222,Social,7.053034390259116,1,1.0,session_duration_too_short
6,0.0112563754111372,0.1831266779641198,Organic,5.900334030844856,2,1.0,session_duration_too_short
1,0.0139659066271273,0.3133613570187845,Paid,5.755733747613868,4,1.0,session_duration_too_short
7,0.0727593867895229,0.1268491719144591,Direct,5.003371014447885,1,1.0,session_duration_too_short
7,0.086015513376933,0.291312499070624,Direct,0.5176054153485553,1,0.8324669016654878,session_duration_too_short
7,0.045067618736137,0.3290304848953652,Direct,3.408635542222352,1,1.0,session_duration_too_short
5,0.0412621141609092,0.133916763045289,Social,0.572741948016439,0,0.5288026272314337,session_duration_too_short
4,0.0380177147540636,0.1884143223003916,Direct,1.3062444718778896,3,1.0,session_duration_too_short
0,1.992240767285944,0.3578891239130183,Social,3.3002278479839298,3,1.0,page_views_invalid
0,1.6231132787393037,0.1707050036644442,Paid,3.401470318260149,2,0.9961858611890738,page_views_invalid
8,0.0344955964123625,0.3241181361409992,Paid,4.024737292298453,0,1.0,session_duration_too_short
10,0.0250185553287675,0.2128064180914393,Referral,11.82438277958215,3,1.0,session_duration_too_short
0,1.1728126559364471,0.3477844405127324,Referral,2.599769343630445,2,0.9328302690872944,page_views_invalid
0,5.366573796927632,0.0987474747508386,Paid,3.387571946905956,2,1.0,page_views_invalid
5,0.0183184066037792,0.0911719121946397,Paid,9.033040065123693,1,1.0,session_duration_too_short
9,0.0466056451914906,0.2677183101965148,Referral,1.9500596128480725,0,1.0,session_duration_too_short
5,0.0500332592427265,0.5904955134372997,Paid,0.6826619869544746,1,0.8676162191219863,session_duration_too_short
6,0.0489050804292396,0.2880399236498382,Organic,3.020125557458545,6,1.0,session_duration_too_short
3,0.0382158638805659,0.6832384179497308,Organic,3.4126659349405104,1,0.7055226551298541,session_duration_too_short
4,0.0036130165019513,0.3439292083464597,Organic,0.1029082691759234,2,0.6506996335718584,session_duration_too_short
0,3.446223802558387,0.4416641207214477,Referral,3.6993651458585584,2,1.0,page_views_invalid
5,0.0958878004607623,0.343395616152479,Paid,6.925161643582835,2,1.0,session_duration_too_short
4,0.0878474734655312,0.3379518050280474,Organic,3.0856235622004995,3,1.0,session_duration_too_short
3,0.0236275635626928,0.3794324025182743,Organic,0.6026939278754596,5,0.7027854341594622,session_duration_too_short
10,6.753123469725169,0.2089496383618496,Organic,0.068515467921686,1,1.0,time_on_page_too_short
3,0.0860779607889425,0.3918548241172235,Referral,7.708172149576284,2,1.0,session_duration_too_short
6,0.0075922484359005,0.1288298902993105,Organic,4.284501676667955,3,1.0,session_duration_too_short
8,0.0713490293797116,0.2649986525674453,Organic,3.690304511058263,0,1.0,session_duration_too_short
4,0.0330794547489073,0.40060606662358,Paid,3.0874303947496866,1,0.978950631172576,session_duration_too_short
0,1.678807512550867,0.2284749019011779,Direct,4.35533648625104,5,1.0,page_views_invalid
4,0.0555572588837508,0.3245316787423343,Paid,0.5897157824746674,0,0.7056912949703028,session_duration_too_short
5,0.010532457752953,0.2382337814747031,Paid,1.241465082383058,3,1.0,session_duration_too_short
3,0.0840559121617255,0.2179265223522057,Organic,6.437025124606416,4,1.0,session_duration_too_short
4,0.0184425136751244,0.122493242907136,Paid,2.169641589663144,1,0.6357664989939598,session_duration_too_short
3,0.0748953204393462,0.4860433604584488,Referral,1.876248348494417,2,0.8214747837186611,session_duration_too_short
3,0.051966470052648,0.4298300925525387,Direct,3.510940806096003,2,1.0,session_duration_too_short
8,0.0304249746815496,0.2386968629652156,Paid,4.599644029833717,3,1.0,session_duration_too_short
6,0.0105510852324056,0.0551577931270375,Paid,2.999242420573353,1,1.0,session_duration_too_short
0,0.3123050531421921,0.124595629658025,Referral,7.741444370212606,5,1.0,page_views_invalid
